IP [Hidden],port,service,banner,country,regname,city,latitude,longitude
845,1911,Tridium Niagara Fox,,Brazil,Rio de Janeiro,Rio de Janeiro,-22.8751,-43.2775
846,1911,Tridium Niagara Fox,,Brazil,Sao Paulo,Colombia,-20.293,-48.7233
847,1911,Tridium Niagara Fox,,Belgium,Brussels Capital,Uccle,50.8,4.3167
848,1911,Tridium Niagara Fox,,Belgium,,,50.85,4.35
849,1911,Tridium Niagara Fox,,Belgium,Antwerp Province,Antwerp,51.2167,4.4167
850,1911,Tridium Niagara Fox,,Iceland,Northeast,Akureyri,65.6835,-18.0878
851,1911,Tridium Niagara Fox,,Iceland,Northeast,Akureyri,65.6835,-18.0878
852,1911,Tridium Niagara Fox,,Germany,,,51.2993,9.491
853,1911,Tridium Niagara Fox,,Germany,,,51.2993,9.491
854,1911,Tridium Niagara Fox,,Germany,,,51.2993,9.491
855,1911,Tridium Niagara Fox,,Canada,Quebec,Montreal,45.504,-73.5747
856,1911,Tridium Niagara Fox,,Republic of Korea,,,37.5112,126.9741
857,1911,Tridium Niagara Fox,,Finland,,,60.1708,24.9375
858,1911,Tridium Niagara Fox,,France,,,48.8582,2.3387
859,1911,Tridium Niagara Fox,,Kuwait,Hawalli,Hawalli,29.3328,48.0286
860,1911,Tridium Niagara Fox,,France,,,48.8582,2.3387
861,5222,XMPP,,Myanmar,,,22,98
862,5222,XMPP,,Kyrgyzstan,Gorod Bishkek,Bishkek,42.8731,74.6003
863,5222,XMPP,,Japan,,,35.69,139.69
864,5222,XMPP,,Japan,,,35.69,139.69
865,5222,XMPP,,Finland,,,60.1708,24.9375
866,5222,XMPP,,Finland,,,60.1708,24.9375
867,5222,XMPP,,Kuwait,,,29.3375,47.6581
868,5222,XMPP,,Qatar,Baladiyat ad Dawhah,Doha,25.2867,51.5333
869,5222,XMPP,,Portugal,,,38.7139,-9.1394
870,5222,XMPP,,Mexico,Morelos,Jiutepec,18.8532,-99.1618
